# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HIP 64892 b,Confirmed,33,4,4,,,,,,,,,,159,12,12,,,,,,,,2018,2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 64892,199.520833335,-44.055277783,6.8,,,,,125,,,,,,2.35,,,1.79,,,B9.5V,0.016,,,10400,,,,,
HIP 65426 b,Confirmed,8,1,1,,,,1.5,0.1,0.1,,,,120,90,40,,,,,,,,2017,2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,150,150,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 65426,201.150000012,-51.504444458,7.01,,,,,11.1,0.3,0.3,,,,1.96,0.04,0.04,1.77,0.05,0.05,A2V,0.014,0.004,0.004,8840,200,200,,,"HD 116434, 2MASS J13243609-5130159 "
HIP 73990 b,Confirmed,21,5,30,,,,,,,,,,20,4,4,,,,,,,,2015,2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 73990,226.812500005,-29.504444458,8.12,,,,,125,15,15,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450,80,80,,,HD 133803
HIP 73990 c,Confirmed,22,6,35,,,,,,,,,,32,7,7,,,,,,,,2015,2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 73990,226.812500005,-29.504444458,8.12,,,,,125,15,15,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450,80,80,,,HD 133803
HIP 74865 b,Confirmed,28,10,37,,,,,,,,,,23,6,6,,,,,,,,2015,2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 74865,229.483333352,-30.478055574,9,,,,,115,15,15,,,,1.42,0.05,0.05,,,,F3V,0.015,0.005,0.005,6640,10,10,,,HD 135778
HIP 77900 b,Confirmed,20,3,7,,,,,,,,,,3200,300,300,,,,,,,,2013,2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 77900,238.625,-27.3386,,,,,,,,,,,,,,,,,,B6,,,,13700,1550,1200,,,
HIP 78530 b,Confirmed,23.04,4,4,,,,,,,,,,710,60,60,,,,,,,4.530951,2011,2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 78530,240.4791667,-21.9802778,7.18,,,,,156.7,13,13,,,,2.5,0,0,,,,B9V,0.011,0.002,0.002,10500,0,0,,,
HN Peg b,Confirmed,16,9.4,9.4,,,,1.1,0.06,0.06,,,,795,15,15,,,,,,,43.206522,2007,2011-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HN Peg,326.1291667,14.7719444,6,,,,,18.4,0.3,0.3,,,,1,,,,,,G0V,0.2,,,,,,,,
HR 2562 b,Confirmed,30,15,15,,,,,,,,,,20.3,0.3,0.3,,,,,,,,2016,2016-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 2562,102.504226375,-60.2491437951,6.114,,,,,33.63,0.48,0.48,0.015,0.065,0.065,1.3,,,,,,F5V,0.6,0.3,0.3,,,,IR Excess,,
HR 3549 b,Confirmed,45,5,5,,,,,,,,,,94,28,65,,,,,,,,2015,2016-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 3549,133.266666668,-56.64944447,6.01,,,,,92.5,,,,,,,,,,,,A0V,0.125,0.025,0.025,10207,347,347,IR Excess,,HD 76346
HR 8799 b,Confirmed,7,2,4,,,,1.2,0.1,0.1,164250,,,68,,,0,,,28,,,1.725888,2008,2015-03-13,,,,,,,,,,,,,,,,,,,,,,2047.1,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,"CO, CH4, H2O",HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 c,Confirmed,10,3,3,,,,1.3,0,0,82145,,,42.9,,,0,,,28,,,1.088832,2008,2018-09-25,,,,,,,,,,,,,,,,,,,,,,1936.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,H2O,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 d,Confirmed,10,3,3,,,,1.2,0,0,41054,,,27,,,0.1,,,28,,,0.685279,2008,2013-08-30,80.2,,,,,,,,,,,,,,,,,,,,,2003.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 e,Confirmed,9,4,4,,,,,,,18000,0,0,14.5,0.5,0.5,,,,,,,0.36802,2010,2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
J1324+63,Confirmed,11.5,0.5,0.5,,,,1.23,0.02,0.02,,,,,,,,,,56,7,11,,2018,2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2MASS J13243553+6358281,201.191666682,63.9702778,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,2MASS J13243553+6358281
LHS 2397a B,Confirmed,64,15,15,,,,,,,5194,40,40,3.09,0.1,0.1,0.35,0.005,0.005,41.9,1.1,1.1,,2009,2019-01-18,38.5,2.4,2.4,2453845,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,Published in a refereed paper,Imaging,Spectrum,,2MASS J11214924-1313084 B,,LHS 2397a A,170.4548837,-13.2190913299,19.57,,11.93,11.23,10.74,14.3905,0.03654,0.03654,,,,0.0839,0.0015,0.0007,,,,M8V,1.5,0.6,4.1,2580,50,50,,,2MASS J11214924-1313084
LHS 6176 B,Confirmed,45,14,14,,,,,,,,,,970,,,,,,,,,,2013,2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,Published in a refereed paper,Imaging,Spectrum,,"2MASS J09504959+0118135 B, G 48-43 B",,LHS 6176 A,147.706632848,1.30378519103,13.88,,9.8,9.23,8.95,19.6846,0.0296,0.0296,-0.3,0.1,0.1,,,,,,,M4V,3.5,0,10,,,,,,"2MASS J09504959+0118135, G 48-43"
LP 261-75 b,Confirmed,21,5,10,,,,,,,,,,450,120,120,,,,,,,,2006,2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"NLTT 22741 b, 2MASS J09510459+3558098 b",,LP 261-75,147.76906527,35.9692960422,15.33,11.9,10.58,9.96,9.69,33.96,0.1594,0.1594,,,,0.22,,,,,,M4.5,0.15,0.05,0.05,,,,,,"2MASS J09510459+3558098, NLTT 22741"
